colour,word,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,response.keys,response.corr,response.rt,thank.keys,thank.rt,date,frameRate,expName,session,participant,
red,blue,0,r,0,0,0,0,r,1,1.29521298409,,,2018_feb_10_1710,400.384127075,stroop,001,Daniel,
green,green,1,g,0,1,1,1,g,1,0.782342910767,,,2018_feb_10_1710,400.384127075,stroop,001,Daniel,
red,yellow,0,r,0,2,2,2,r,1,1.05989718437,,,2018_feb_10_1710,400.384127075,stroop,001,Daniel,
red,red,1,r,0,3,3,3,r,1,0.971524000168,,,2018_feb_10_1710,400.384127075,stroop,001,Daniel,
blue,blue,1,b,0,4,4,4,b,1,0.87818312645,,,2018_feb_10_1710,400.384127075,stroop,001,Daniel,
green,green,1,g,0,5,5,5,g,1,0.61988401413,,,2018_feb_10_1710,400.384127075,stroop,001,Daniel,
blue,red,0,b,0,6,6,6,b,1,0.898587942123,,,2018_feb_10_1710,400.384127075,stroop,001,Daniel,
yellow,yellow,1,y,0,7,7,7,y,1,0.55636715889,,,2018_feb_10_1710,400.384127075,stroop,001,Daniel,
green,green,1,g,0,8,8,8,g,1,0.963266849518,,,2018_feb_10_1710,400.384127075,stroop,001,Daniel,
red,red,1,r,0,9,9,9,r,1,0.600675106049,,,2018_feb_10_1710,400.384127075,stroop,001,Daniel,
blue,blue,1,b,0,10,10,10,b,1,0.563541173935,,,2018_feb_10_1710,400.384127075,stroop,001,Daniel,
yellow,yellow,1,y,0,11,11,11,y,1,0.529347896576,,,2018_feb_10_1710,400.384127075,stroop,001,Daniel,
blue,blue,1,b,0,12,12,12,b,1,1.10303020477,,,2018_feb_10_1710,400.384127075,stroop,001,Daniel,
yellow,green,0,y,0,13,13,13,y,1,1.06608200073,,,2018_feb_10_1710,400.384127075,stroop,001,Daniel,
yellow,yellow,1,y,0,14,14,14,y,1,0.620955944061,,,2018_feb_10_1710,400.384127075,stroop,001,Daniel,
green,green,1,g,0,15,15,15,g,1,0.869695186615,,,2018_feb_10_1710,400.384127075,stroop,001,Daniel,
red,red,1,r,0,16,16,16,r,1,0.530388832092,,,2018_feb_10_1710,400.384127075,stroop,001,Daniel,
,,,,,,,,,,,g,0.603975057602,2018_feb_10_1710,400.384127075,stroop,001,Daniel,
