17.8421 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f71d0067310>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
17.8421 	EXP 	window1: recordFrameIntervals = False
17.8644 	EXP 	window1: recordFrameIntervals = True
17.8743 	WARNING 	t of last frame was 3.45ms (=1/289)
17.8783 	WARNING 	t of last frame was 4.07ms (=1/245)
17.8912 	WARNING 	t of last frame was 3.23ms (=1/309)
17.8916 	EXP 	window1: recordFrameIntervals = False
18.0111 	EXP 	Created instrText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='instrText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
18.0176 	EXP 	Created targe = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='targe', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
18.0618 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
18.0628 	EXP 	window1: blendMode = 'avg'
18.0650 	EXP 	instrText: autoDraw = True
18.0652 	EXP 	window1: blendMode = 'avg'
18.0675 	EXP 	window1: blendMode = 'avg'
18.0698 	EXP 	window1: blendMode = 'avg'
18.0720 	EXP 	window1: blendMode = 'avg'
18.0743 	EXP 	window1: blendMode = 'avg'
18.0765 	EXP 	window1: blendMode = 'avg'
18.0789 	EXP 	window1: blendMode = 'avg'
18.0848 	EXP 	window1: blendMode = 'avg'
18.0870 	EXP 	window1: blendMode = 'avg'
18.0893 	EXP 	window1: blendMode = 'avg'
18.0917 	EXP 	window1: blendMode = 'avg'
18.0942 	EXP 	window1: blendMode = 'avg'
18.0964 	EXP 	window1: blendMode = 'avg'
18.0998 	EXP 	window1: blendMode = 'avg'
18.1028 	EXP 	window1: blendMode = 'avg'
18.1057 	EXP 	window1: blendMode = 'avg'
18.1083 	EXP 	window1: blendMode = 'avg'
18.1109 	EXP 	window1: blendMode = 'avg'
18.1131 	EXP 	window1: blendMode = 'avg'
18.1153 	EXP 	window1: blendMode = 'avg'
18.1189 	EXP 	window1: blendMode = 'avg'
18.1219 	EXP 	window1: blendMode = 'avg'
18.1242 	EXP 	window1: blendMode = 'avg'
18.1280 	EXP 	window1: blendMode = 'avg'
18.1305 	EXP 	window1: blendMode = 'avg'
