colour,word,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,response.keys,response.corr,response.rt,thank.keys,thank.rt,date,frameRate,expName,session,participant,
red,blue,0,r,0,0,0,0,r,1,1.28264117241,,,2018_feb_10_1712,491.326156477,stroop,001,gianlucca,
green,green,1,g,0,1,1,1,g,1,1.15137195587,,,2018_feb_10_1712,491.326156477,stroop,001,gianlucca,
red,yellow,0,r,0,2,2,2,r,1,0.869816064835,,,2018_feb_10_1712,491.326156477,stroop,001,gianlucca,
red,red,1,r,0,3,3,3,r,1,0.670921802521,,,2018_feb_10_1712,491.326156477,stroop,001,gianlucca,
blue,blue,1,b,0,4,4,4,b,1,0.57572221756,,,2018_feb_10_1712,491.326156477,stroop,001,gianlucca,
green,green,1,g,0,5,5,5,g,1,0.508694171906,,,2018_feb_10_1712,491.326156477,stroop,001,gianlucca,
blue,red,0,b,0,6,6,6,b,1,1.1774148941,,,2018_feb_10_1712,491.326156477,stroop,001,gianlucca,
yellow,yellow,1,y,0,7,7,7,y,1,0.468143939972,,,2018_feb_10_1712,491.326156477,stroop,001,gianlucca,
green,green,1,g,0,8,8,8,g,1,0.577378034592,,,2018_feb_10_1712,491.326156477,stroop,001,gianlucca,
red,red,1,r,0,9,9,9,r,1,0.527369976044,,,2018_feb_10_1712,491.326156477,stroop,001,gianlucca,
blue,blue,1,b,0,10,10,10,b,1,0.584930896759,,,2018_feb_10_1712,491.326156477,stroop,001,gianlucca,
yellow,yellow,1,y,0,11,11,11,y,1,0.419911146164,,,2018_feb_10_1712,491.326156477,stroop,001,gianlucca,
blue,blue,1,b,0,12,12,12,b,1,1.26608204842,,,2018_feb_10_1712,491.326156477,stroop,001,gianlucca,
yellow,green,0,y,0,13,13,13,y,1,1.05219697952,,,2018_feb_10_1712,491.326156477,stroop,001,gianlucca,
yellow,yellow,1,y,0,14,14,14,y,1,0.573266983032,,,2018_feb_10_1712,491.326156477,stroop,001,gianlucca,
green,green,1,g,0,15,15,15,g,1,0.733994960785,,,2018_feb_10_1712,491.326156477,stroop,001,gianlucca,
red,red,1,r,0,16,16,16,r,1,0.68022608757,,,2018_feb_10_1712,491.326156477,stroop,001,gianlucca,
,,,,,,,,,,,b,1.06960296631,2018_feb_10_1712,491.326156477,stroop,001,gianlucca,
