7.4076 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f96f01b1310>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.4077 	EXP 	window1: recordFrameIntervals = False
7.4307 	EXP 	window1: recordFrameIntervals = True
7.4404 	WARNING 	t of last frame was 3.36ms (=1/297)
7.4482 	WARNING 	t of last frame was 2.64ms (=1/378)
7.4539 	EXP 	window1: recordFrameIntervals = False
7.5868 	EXP 	Created instrText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='instrText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
7.5938 	EXP 	Created targe = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='targe', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
7.6402 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
7.6411 	EXP 	window1: blendMode = 'avg'
7.6433 	EXP 	instrText: autoDraw = True
7.6438 	EXP 	window1: blendMode = 'avg'
7.6464 	EXP 	window1: blendMode = 'avg'
7.6487 	EXP 	window1: blendMode = 'avg'
7.6520 	EXP 	window1: blendMode = 'avg'
7.6542 	EXP 	window1: blendMode = 'avg'
7.6565 	EXP 	window1: blendMode = 'avg'
7.6587 	EXP 	window1: blendMode = 'avg'
7.6630 	EXP 	window1: blendMode = 'avg'
7.6655 	EXP 	window1: blendMode = 'avg'
7.6688 	EXP 	window1: blendMode = 'avg'
7.6710 	EXP 	window1: blendMode = 'avg'
7.6732 	EXP 	window1: blendMode = 'avg'
7.6754 	EXP 	window1: blendMode = 'avg'
7.6780 	EXP 	window1: blendMode = 'avg'
7.6807 	EXP 	window1: blendMode = 'avg'
7.6844 	EXP 	window1: blendMode = 'avg'
7.6866 	EXP 	window1: blendMode = 'avg'
7.6887 	EXP 	window1: blendMode = 'avg'
7.6926 	EXP 	window1: blendMode = 'avg'
7.6950 	EXP 	window1: blendMode = 'avg'
7.6973 	EXP 	window1: blendMode = 'avg'
7.7006 	EXP 	window1: blendMode = 'avg'
7.7039 	EXP 	window1: blendMode = 'avg'
7.7062 	EXP 	window1: blendMode = 'avg'
7.7083 	EXP 	window1: blendMode = 'avg'
7.7116 	EXP 	window1: blendMode = 'avg'
7.7138 	EXP 	window1: blendMode = 'avg'
7.7172 	EXP 	window1: blendMode = 'avg'
7.7193 	EXP 	window1: blendMode = 'avg'
7.7214 	EXP 	window1: blendMode = 'avg'
7.7236 	EXP 	window1: blendMode = 'avg'
7.7258 	EXP 	window1: blendMode = 'avg'
7.7291 	EXP 	window1: blendMode = 'avg'
7.7322 	EXP 	window1: blendMode = 'avg'
7.7344 	EXP 	window1: blendMode = 'avg'
7.7365 	EXP 	window1: blendMode = 'avg'
7.7387 	EXP 	window1: blendMode = 'avg'
7.7407 	EXP 	window1: blendMode = 'avg'
7.7430 	EXP 	window1: blendMode = 'avg'
7.7461 	EXP 	window1: blendMode = 'avg'
7.7503 	EXP 	window1: blendMode = 'avg'
7.7524 	EXP 	window1: blendMode = 'avg'
7.7546 	EXP 	window1: blendMode = 'avg'
7.7567 	EXP 	window1: blendMode = 'avg'
7.7589 	EXP 	window1: blendMode = 'avg'
7.7616 	EXP 	window1: blendMode = 'avg'
7.7649 	EXP 	window1: blendMode = 'avg'
7.7686 	EXP 	window1: blendMode = 'avg'
7.7714 	EXP 	window1: blendMode = 'avg'
7.7736 	EXP 	window1: blendMode = 'avg'
7.7779 	EXP 	window1: blendMode = 'avg'
7.7811 	EXP 	window1: blendMode = 'avg'
7.7833 	EXP 	window1: blendMode = 'avg'
7.7856 	EXP 	window1: blendMode = 'avg'
7.7878 	EXP 	window1: blendMode = 'avg'
7.7905 	EXP 	window1: blendMode = 'avg'
7.7938 	EXP 	window1: blendMode = 'avg'
7.7980 	EXP 	window1: blendMode = 'avg'
7.8003 	EXP 	window1: blendMode = 'avg'
7.8024 	EXP 	window1: blendMode = 'avg'
7.8045 	EXP 	window1: blendMode = 'avg'
7.8065 	EXP 	window1: blendMode = 'avg'
7.8086 	EXP 	window1: blendMode = 'avg'
7.8129 	EXP 	window1: blendMode = 'avg'
7.8162 	EXP 	window1: blendMode = 'avg'
7.8184 	EXP 	window1: blendMode = 'avg'
7.8205 	EXP 	window1: blendMode = 'avg'
7.8226 	EXP 	window1: blendMode = 'avg'
7.8247 	EXP 	window1: blendMode = 'avg'
7.8274 	EXP 	window1: blendMode = 'avg'
7.8306 	EXP 	window1: blendMode = 'avg'
7.8342 	EXP 	window1: blendMode = 'avg'
7.8364 	EXP 	window1: blendMode = 'avg'
7.8386 	EXP 	window1: blendMode = 'avg'
7.8407 	EXP 	window1: blendMode = 'avg'
7.8429 	EXP 	window1: blendMode = 'avg'
7.8465 	EXP 	window1: blendMode = 'avg'
7.8488 	EXP 	window1: blendMode = 'avg'
7.8510 	EXP 	window1: blendMode = 'avg'
7.8533 	EXP 	window1: blendMode = 'avg'
7.8572 	EXP 	window1: blendMode = 'avg'
7.8593 	EXP 	window1: blendMode = 'avg'
7.8633 	EXP 	window1: blendMode = 'avg'
7.8657 	EXP 	window1: blendMode = 'avg'
7.8680 	EXP 	window1: blendMode = 'avg'
7.8701 	EXP 	window1: blendMode = 'avg'
7.8722 	EXP 	window1: blendMode = 'avg'
7.8751 	EXP 	window1: blendMode = 'avg'
7.8798 	EXP 	window1: blendMode = 'avg'
7.8823 	EXP 	window1: blendMode = 'avg'
7.8857 	EXP 	window1: blendMode = 'avg'
7.8878 	EXP 	window1: blendMode = 'avg'
7.8899 	EXP 	window1: blendMode = 'avg'
7.8941 	EXP 	window1: blendMode = 'avg'
7.8976 	EXP 	window1: blendMode = 'avg'
7.9002 	EXP 	window1: blendMode = 'avg'
7.9024 	EXP 	window1: blendMode = 'avg'
7.9045 	EXP 	window1: blendMode = 'avg'
7.9067 	EXP 	window1: blendMode = 'avg'
7.9102 	EXP 	window1: blendMode = 'avg'
7.9128 	EXP 	window1: blendMode = 'avg'
7.9152 	EXP 	window1: blendMode = 'avg'
7.9179 	EXP 	window1: blendMode = 'avg'
7.9214 	EXP 	window1: blendMode = 'avg'
7.9237 	EXP 	window1: blendMode = 'avg'
7.9273 	EXP 	window1: blendMode = 'avg'
7.9300 	EXP 	window1: blendMode = 'avg'
7.9324 	EXP 	window1: blendMode = 'avg'
7.9352 	EXP 	window1: blendMode = 'avg'
7.9374 	EXP 	window1: blendMode = 'avg'
7.9397 	EXP 	window1: blendMode = 'avg'
7.9432 	EXP 	window1: blendMode = 'avg'
7.9457 	EXP 	window1: blendMode = 'avg'
7.9482 	EXP 	window1: blendMode = 'avg'
7.9505 	EXP 	window1: blendMode = 'avg'
7.9527 	EXP 	window1: blendMode = 'avg'
7.9566 	EXP 	window1: blendMode = 'avg'
7.9616 	EXP 	window1: blendMode = 'avg'
7.9641 	EXP 	window1: blendMode = 'avg'
