colour,word,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,response.keys,response.corr,response.rt,thank.keys,thank.rt,date,frameRate,expName,session,participant,
red,blue,0,r,0,0,0,0,b,0,1.44555902481,,,2018_feb_10_1711,424.898848176,stroop,001,lili,
green,green,1,g,0,1,1,1,g,1,1.97400212288,,,2018_feb_10_1711,424.898848176,stroop,001,lili,
red,yellow,0,r,0,2,2,2,r,1,1.08311891556,,,2018_feb_10_1711,424.898848176,stroop,001,lili,
red,red,1,r,0,3,3,3,r,1,0.542650938034,,,2018_feb_10_1711,424.898848176,stroop,001,lili,
blue,blue,1,b,0,4,4,4,b,1,0.545352220535,,,2018_feb_10_1711,424.898848176,stroop,001,lili,
green,green,1,g,0,5,5,5,g,1,0.440262079239,,,2018_feb_10_1711,424.898848176,stroop,001,lili,
blue,red,0,b,0,6,6,6,b,1,0.779742002487,,,2018_feb_10_1711,424.898848176,stroop,001,lili,
yellow,yellow,1,y,0,7,7,7,y,1,1.19238305092,,,2018_feb_10_1711,424.898848176,stroop,001,lili,
green,green,1,g,0,8,8,8,g,1,0.562005996704,,,2018_feb_10_1711,424.898848176,stroop,001,lili,
red,red,1,r,0,9,9,9,r,1,0.429347038269,,,2018_feb_10_1711,424.898848176,stroop,001,lili,
blue,blue,1,b,0,10,10,10,b,1,0.607988119125,,,2018_feb_10_1711,424.898848176,stroop,001,lili,
yellow,yellow,1,y,0,11,11,11,y,1,0.380967140198,,,2018_feb_10_1711,424.898848176,stroop,001,lili,
blue,blue,1,b,0,12,12,12,b,1,0.500247955322,,,2018_feb_10_1711,424.898848176,stroop,001,lili,
yellow,green,0,y,0,13,13,13,g,0,0.635843038559,,,2018_feb_10_1711,424.898848176,stroop,001,lili,
yellow,yellow,1,y,0,14,14,14,y,1,0.734992980957,,,2018_feb_10_1711,424.898848176,stroop,001,lili,
green,green,1,g,0,15,15,15,g,1,0.63828587532,,,2018_feb_10_1711,424.898848176,stroop,001,lili,
red,red,1,r,0,16,16,16,r,1,0.528404951096,,,2018_feb_10_1711,424.898848176,stroop,001,lili,
,,,,,,,,,,,r,0.629953145981,2018_feb_10_1711,424.898848176,stroop,001,lili,
