7.9293 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fe09e44d310>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.9293 	EXP 	window1: recordFrameIntervals = False
7.9486 	EXP 	window1: recordFrameIntervals = True
7.9607 	WARNING 	t of last frame was 4.31ms (=1/231)
7.9760 	WARNING 	t of last frame was 3.58ms (=1/279)
7.9763 	EXP 	window1: recordFrameIntervals = False
8.1127 	EXP 	Created instrText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='instrText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
8.1218 	EXP 	Created targe = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='targe', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
8.1685 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
8.1695 	EXP 	window1: blendMode = 'avg'
8.1717 	EXP 	instrText: autoDraw = True
8.1720 	EXP 	window1: blendMode = 'avg'
8.1743 	EXP 	window1: blendMode = 'avg'
8.1772 	EXP 	window1: blendMode = 'avg'
8.1793 	EXP 	window1: blendMode = 'avg'
8.1820 	EXP 	window1: blendMode = 'avg'
8.1851 	EXP 	window1: blendMode = 'avg'
8.1873 	EXP 	window1: blendMode = 'avg'
8.1895 	EXP 	window1: blendMode = 'avg'
8.1917 	EXP 	window1: blendMode = 'avg'
8.1963 	EXP 	window1: blendMode = 'avg'
8.1997 	EXP 	window1: blendMode = 'avg'
8.2022 	EXP 	window1: blendMode = 'avg'
8.2043 	EXP 	window1: blendMode = 'avg'
8.2065 	EXP 	window1: blendMode = 'avg'
8.2085 	EXP 	window1: blendMode = 'avg'
8.2106 	EXP 	window1: blendMode = 'avg'
8.2140 	EXP 	window1: blendMode = 'avg'
8.2173 	EXP 	window1: blendMode = 'avg'
8.2197 	EXP 	window1: blendMode = 'avg'
8.2219 	EXP 	window1: blendMode = 'avg'
8.2240 	EXP 	window1: blendMode = 'avg'
8.2261 	EXP 	window1: blendMode = 'avg'
8.2283 	EXP 	window1: blendMode = 'avg'
8.2318 	EXP 	window1: blendMode = 'avg'
8.2360 	EXP 	window1: blendMode = 'avg'
8.2382 	EXP 	window1: blendMode = 'avg'
8.2403 	EXP 	window1: blendMode = 'avg'
8.2425 	EXP 	window1: blendMode = 'avg'
8.2447 	EXP 	window1: blendMode = 'avg'
8.2475 	EXP 	window1: blendMode = 'avg'
8.2515 	EXP 	window1: blendMode = 'avg'
8.2538 	EXP 	window1: blendMode = 'avg'
8.2559 	EXP 	window1: blendMode = 'avg'
8.2581 	EXP 	window1: blendMode = 'avg'
8.2602 	EXP 	window1: blendMode = 'avg'
8.2623 	EXP 	window1: blendMode = 'avg'
8.2675 	EXP 	window1: blendMode = 'avg'
8.2705 	EXP 	window1: blendMode = 'avg'
8.2729 	EXP 	window1: blendMode = 'avg'
8.2753 	EXP 	window1: blendMode = 'avg'
8.2799 	EXP 	window1: blendMode = 'avg'
8.2841 	EXP 	window1: blendMode = 'avg'
8.2864 	EXP 	window1: blendMode = 'avg'
8.2885 	EXP 	window1: blendMode = 'avg'
8.2907 	EXP 	window1: blendMode = 'avg'
8.2928 	EXP 	window1: blendMode = 'avg'
8.2949 	EXP 	window1: blendMode = 'avg'
8.2994 	EXP 	window1: blendMode = 'avg'
8.3024 	EXP 	window1: blendMode = 'avg'
8.3052 	EXP 	window1: blendMode = 'avg'
8.3073 	EXP 	window1: blendMode = 'avg'
8.3097 	EXP 	window1: blendMode = 'avg'
8.3152 	EXP 	window1: blendMode = 'avg'
8.3176 	EXP 	window1: blendMode = 'avg'
8.3198 	EXP 	window1: blendMode = 'avg'
8.3219 	EXP 	window1: blendMode = 'avg'
8.3248 	EXP 	window1: blendMode = 'avg'
8.3270 	EXP 	window1: blendMode = 'avg'
8.3322 	EXP 	window1: blendMode = 'avg'
8.3347 	EXP 	window1: blendMode = 'avg'
8.3374 	EXP 	window1: blendMode = 'avg'
8.3398 	EXP 	window1: blendMode = 'avg'
8.3422 	EXP 	window1: blendMode = 'avg'
8.3444 	EXP 	window1: blendMode = 'avg'
8.3484 	EXP 	window1: blendMode = 'avg'
8.3520 	EXP 	window1: blendMode = 'avg'
8.3543 	EXP 	window1: blendMode = 'avg'
8.3584 	EXP 	window1: blendMode = 'avg'
8.3612 	EXP 	window1: blendMode = 'avg'
8.3653 	EXP 	window1: blendMode = 'avg'
8.3679 	EXP 	window1: blendMode = 'avg'
8.3702 	EXP 	window1: blendMode = 'avg'
8.3724 	EXP 	window1: blendMode = 'avg'
8.3746 	EXP 	window1: blendMode = 'avg'
8.3785 	EXP 	window1: blendMode = 'avg'
8.3818 	EXP 	window1: blendMode = 'avg'
8.3844 	EXP 	window1: blendMode = 'avg'
8.3867 	EXP 	window1: blendMode = 'avg'
8.3890 	EXP 	window1: blendMode = 'avg'
8.3912 	EXP 	window1: blendMode = 'avg'
8.3945 	EXP 	window1: blendMode = 'avg'
8.3974 	EXP 	window1: blendMode = 'avg'
8.4000 	EXP 	window1: blendMode = 'avg'
8.4038 	EXP 	window1: blendMode = 'avg'
8.4062 	EXP 	window1: blendMode = 'avg'
8.4084 	EXP 	window1: blendMode = 'avg'
8.4119 	EXP 	window1: blendMode = 'avg'
8.4145 	EXP 	window1: blendMode = 'avg'
8.4170 	EXP 	window1: blendMode = 'avg'
8.4195 	EXP 	window1: blendMode = 'avg'
8.4219 	EXP 	window1: blendMode = 'avg'
8.4247 	EXP 	window1: blendMode = 'avg'
8.4281 	EXP 	window1: blendMode = 'avg'
8.4310 	EXP 	window1: blendMode = 'avg'
8.4335 	EXP 	window1: blendMode = 'avg'
8.4358 	EXP 	window1: blendMode = 'avg'
8.4381 	EXP 	window1: blendMode = 'avg'
8.4414 	EXP 	window1: blendMode = 'avg'
8.4448 	EXP 	window1: blendMode = 'avg'
8.4476 	EXP 	window1: blendMode = 'avg'
8.4501 	EXP 	window1: blendMode = 'avg'
8.4525 	EXP 	window1: blendMode = 'avg'
8.4548 	EXP 	window1: blendMode = 'avg'
8.4571 	EXP 	window1: blendMode = 'avg'
8.4632 	EXP 	window1: blendMode = 'avg'
8.4669 	EXP 	window1: blendMode = 'avg'
8.4692 	EXP 	window1: blendMode = 'avg'
8.4714 	EXP 	window1: blendMode = 'avg'
8.4739 	EXP 	window1: blendMode = 'avg'
8.4772 	EXP 	window1: blendMode = 'avg'
8.4808 	EXP 	window1: blendMode = 'avg'
8.4833 	EXP 	window1: blendMode = 'avg'
8.4856 	EXP 	window1: blendMode = 'avg'
8.4878 	EXP 	window1: blendMode = 'avg'
8.4900 	EXP 	window1: blendMode = 'avg'
8.4933 	EXP 	window1: blendMode = 'avg'
8.4961 	EXP 	window1: blendMode = 'avg'
8.4989 	EXP 	window1: blendMode = 'avg'
8.5028 	EXP 	window1: blendMode = 'avg'
8.5057 	EXP 	window1: blendMode = 'avg'
8.5093 	EXP 	window1: blendMode = 'avg'
8.5114 	EXP 	window1: blendMode = 'avg'
8.5143 	EXP 	window1: blendMode = 'avg'
8.5167 	EXP 	window1: blendMode = 'avg'
8.5190 	EXP 	window1: blendMode = 'avg'
8.5213 	EXP 	window1: blendMode = 'avg'
