colour,word,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,response.keys,response.corr,response.rt,thank.keys,thank.rt,date,frameRate,expName,session,participant,
red,blue,0,r,0,0,0,0,r,1,1.35587215424,,,2018_feb_10_1711,458.193576579,stroop,001,marco,
green,green,1,g,0,1,1,1,g,1,0.877388000488,,,2018_feb_10_1711,458.193576579,stroop,001,marco,
red,yellow,0,r,0,2,2,2,r,1,0.976940870285,,,2018_feb_10_1711,458.193576579,stroop,001,marco,
red,red,1,r,0,3,3,3,r,1,0.674749851227,,,2018_feb_10_1711,458.193576579,stroop,001,marco,
blue,blue,1,b,0,4,4,4,b,1,0.498227119446,,,2018_feb_10_1711,458.193576579,stroop,001,marco,
green,green,1,g,0,5,5,5,g,1,0.384428977966,,,2018_feb_10_1711,458.193576579,stroop,001,marco,
blue,red,0,b,0,6,6,6,b,1,1.36320996284,,,2018_feb_10_1711,458.193576579,stroop,001,marco,
yellow,yellow,1,y,0,7,7,7,y,1,0.783122777939,,,2018_feb_10_1711,458.193576579,stroop,001,marco,
green,green,1,g,0,8,8,8,g,1,0.555782079697,,,2018_feb_10_1711,458.193576579,stroop,001,marco,
red,red,1,r,0,9,9,9,r,1,0.436835050583,,,2018_feb_10_1711,458.193576579,stroop,001,marco,
blue,blue,1,b,0,10,10,10,b,1,0.559883117676,,,2018_feb_10_1711,458.193576579,stroop,001,marco,
yellow,yellow,1,y,0,11,11,11,y,1,0.539036035538,,,2018_feb_10_1711,458.193576579,stroop,001,marco,
blue,blue,1,b,0,12,12,12,b,1,0.794854879379,,,2018_feb_10_1711,458.193576579,stroop,001,marco,
yellow,green,0,y,0,13,13,13,y,1,0.982667922974,,,2018_feb_10_1711,458.193576579,stroop,001,marco,
yellow,yellow,1,y,0,14,14,14,y,1,0.720200061798,,,2018_feb_10_1711,458.193576579,stroop,001,marco,
green,green,1,g,0,15,15,15,g,1,0.863527059555,,,2018_feb_10_1711,458.193576579,stroop,001,marco,
red,red,1,r,0,16,16,16,r,1,0.535805940628,,,2018_feb_10_1711,458.193576579,stroop,001,marco,
,,,,,,,,,,,r,0.607980012894,2018_feb_10_1711,458.193576579,stroop,001,marco,
