5.2586 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f95eb941310>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.2586 	EXP 	window1: recordFrameIntervals = False
5.2790 	EXP 	window1: recordFrameIntervals = True
5.2925 	WARNING 	t of last frame was 4.87ms (=1/205)
5.2987 	WARNING 	t of last frame was 2.70ms (=1/370)
5.3042 	EXP 	window1: recordFrameIntervals = False
5.4302 	EXP 	Created instrText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='instrText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
5.4366 	EXP 	Created targe = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='targe', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
5.4863 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
5.4871 	EXP 	window1: blendMode = 'avg'
5.4893 	EXP 	instrText: autoDraw = True
5.4896 	EXP 	window1: blendMode = 'avg'
5.4920 	EXP 	window1: blendMode = 'avg'
5.4945 	EXP 	window1: blendMode = 'avg'
5.4967 	EXP 	window1: blendMode = 'avg'
5.4988 	EXP 	window1: blendMode = 'avg'
5.5010 	EXP 	window1: blendMode = 'avg'
5.5031 	EXP 	window1: blendMode = 'avg'
5.5094 	EXP 	window1: blendMode = 'avg'
5.5119 	EXP 	window1: blendMode = 'avg'
5.5146 	EXP 	window1: blendMode = 'avg'
5.5167 	EXP 	window1: blendMode = 'avg'
5.5202 	EXP 	window1: blendMode = 'avg'
5.5224 	EXP 	window1: blendMode = 'avg'
5.5245 	EXP 	window1: blendMode = 'avg'
5.5271 	EXP 	window1: blendMode = 'avg'
5.5296 	EXP 	window1: blendMode = 'avg'
5.5322 	EXP 	window1: blendMode = 'avg'
5.5345 	EXP 	window1: blendMode = 'avg'
5.5381 	EXP 	window1: blendMode = 'avg'
5.5402 	EXP 	window1: blendMode = 'avg'
5.5431 	EXP 	window1: blendMode = 'avg'
5.5456 	EXP 	window1: blendMode = 'avg'
5.5477 	EXP 	window1: blendMode = 'avg'
5.5499 	EXP 	window1: blendMode = 'avg'
5.5540 	EXP 	window1: blendMode = 'avg'
5.5596 	EXP 	window1: blendMode = 'avg'
5.5620 	EXP 	window1: blendMode = 'avg'
5.5642 	EXP 	window1: blendMode = 'avg'
5.5663 	EXP 	window1: blendMode = 'avg'
5.5684 	EXP 	window1: blendMode = 'avg'
5.5705 	EXP 	window1: blendMode = 'avg'
5.5739 	EXP 	window1: blendMode = 'avg'
5.5772 	EXP 	window1: blendMode = 'avg'
5.5800 	EXP 	window1: blendMode = 'avg'
5.5823 	EXP 	window1: blendMode = 'avg'
5.5845 	EXP 	window1: blendMode = 'avg'
5.5865 	EXP 	window1: blendMode = 'avg'
5.5899 	EXP 	window1: blendMode = 'avg'
5.5925 	EXP 	window1: blendMode = 'avg'
5.5950 	EXP 	window1: blendMode = 'avg'
5.5987 	EXP 	window1: blendMode = 'avg'
5.6008 	EXP 	window1: blendMode = 'avg'
5.6043 	EXP 	window1: blendMode = 'avg'
5.6064 	EXP 	window1: blendMode = 'avg'
5.6092 	EXP 	window1: blendMode = 'avg'
5.6118 	EXP 	window1: blendMode = 'avg'
5.6140 	EXP 	window1: blendMode = 'avg'
5.6161 	EXP 	window1: blendMode = 'avg'
5.6183 	EXP 	window1: blendMode = 'avg'
5.6239 	EXP 	window1: blendMode = 'avg'
5.6264 	EXP 	window1: blendMode = 'avg'
5.6287 	EXP 	window1: blendMode = 'avg'
5.6328 	EXP 	window1: blendMode = 'avg'
5.6349 	EXP 	window1: blendMode = 'avg'
5.6384 	EXP 	window1: blendMode = 'avg'
5.6413 	EXP 	window1: blendMode = 'avg'
5.6444 	EXP 	window1: blendMode = 'avg'
5.6467 	EXP 	window1: blendMode = 'avg'
5.6488 	EXP 	window1: blendMode = 'avg'
5.6510 	EXP 	window1: blendMode = 'avg'
5.6545 	EXP 	window1: blendMode = 'avg'
5.6567 	EXP 	window1: blendMode = 'avg'
5.6602 	EXP 	window1: blendMode = 'avg'
5.6630 	EXP 	window1: blendMode = 'avg'
5.6653 	EXP 	window1: blendMode = 'avg'
5.6686 	EXP 	window1: blendMode = 'avg'
5.6709 	EXP 	window1: blendMode = 'avg'
5.6730 	EXP 	window1: blendMode = 'avg'
5.6756 	EXP 	window1: blendMode = 'avg'
5.6783 	EXP 	window1: blendMode = 'avg'
5.6822 	EXP 	window1: blendMode = 'avg'
5.6845 	EXP 	window1: blendMode = 'avg'
5.6881 	EXP 	window1: blendMode = 'avg'
5.6902 	EXP 	window1: blendMode = 'avg'
5.6927 	EXP 	window1: blendMode = 'avg'
5.6950 	EXP 	window1: blendMode = 'avg'
5.6972 	EXP 	window1: blendMode = 'avg'
5.6994 	EXP 	window1: blendMode = 'avg'
5.7016 	EXP 	window1: blendMode = 'avg'
5.7075 	EXP 	window1: blendMode = 'avg'
5.7100 	EXP 	window1: blendMode = 'avg'
5.7123 	EXP 	window1: blendMode = 'avg'
5.7145 	EXP 	window1: blendMode = 'avg'
5.7166 	EXP 	window1: blendMode = 'avg'
5.7203 	EXP 	window1: blendMode = 'avg'
5.7232 	EXP 	window1: blendMode = 'avg'
5.7256 	EXP 	window1: blendMode = 'avg'
5.7281 	EXP 	window1: blendMode = 'avg'
5.7304 	EXP 	window1: blendMode = 'avg'
5.7326 	EXP 	window1: blendMode = 'avg'
5.7348 	EXP 	window1: blendMode = 'avg'
5.7384 	EXP 	window1: blendMode = 'avg'
5.7435 	EXP 	window1: blendMode = 'avg'
5.7457 	EXP 	window1: blendMode = 'avg'
5.7479 	EXP 	window1: blendMode = 'avg'
5.7502 	EXP 	window1: blendMode = 'avg'
5.7523 	EXP 	window1: blendMode = 'avg'
5.7558 	EXP 	window1: blendMode = 'avg'
5.7586 	EXP 	window1: blendMode = 'avg'
5.7612 	EXP 	window1: blendMode = 'avg'
5.7634 	EXP 	window1: blendMode = 'avg'
5.7656 	EXP 	window1: blendMode = 'avg'
5.7677 	EXP 	window1: blendMode = 'avg'
5.7710 	EXP 	window1: blendMode = 'avg'
5.7731 	EXP 	window1: blendMode = 'avg'
5.7769 	EXP 	window1: blendMode = 'avg'
5.7796 	EXP 	window1: blendMode = 'avg'
5.7819 	EXP 	window1: blendMode = 'avg'
5.7840 	EXP 	window1: blendMode = 'avg'
5.7874 	EXP 	window1: blendMode = 'avg'
5.7895 	EXP 	window1: blendMode = 'avg'
5.7919 	EXP 	window1: blendMode = 'avg'
5.7945 	EXP 	window1: blendMode = 'avg'
5.7985 	EXP 	window1: blendMode = 'avg'
5.8022 	EXP 	window1: blendMode = 'avg'
5.8043 	EXP 	window1: blendMode = 'avg'
5.8065 	EXP 	window1: blendMode = 'avg'
5.8091 	EXP 	window1: blendMode = 'avg'
5.8117 	EXP 	window1: blendMode = 'avg'
5.8139 	EXP 	window1: blendMode = 'avg'
5.8161 	EXP 	window1: blendMode = 'avg'
5.8195 	EXP 	window1: blendMode = 'avg'
5.8236 	EXP 	window1: blendMode = 'avg'
5.8269 	EXP 	window1: blendMode = 'avg'
5.8292 	EXP 	window1: blendMode = 'avg'
5.8313 	EXP 	window1: blendMode = 'avg'
5.8350 	EXP 	window1: blendMode = 'avg'
5.8371 	EXP 	window1: blendMode = 'avg'
5.8393 	EXP 	window1: blendMode = 'avg'
5.8420 	EXP 	window1: blendMode = 'avg'
5.8447 	EXP 	window1: blendMode = 'avg'
5.8469 	EXP 	window1: blendMode = 'avg'
5.8491 	EXP 	window1: blendMode = 'avg'
5.8532 	EXP 	window1: blendMode = 'avg'
5.8553 	EXP 	window1: blendMode = 'avg'
5.8576 	EXP 	window1: blendMode = 'avg'
5.8602 	EXP 	window1: blendMode = 'avg'
5.8629 	EXP 	window1: blendMode = 'avg'
5.8651 	EXP 	window1: blendMode = 'avg'
5.8673 	EXP 	window1: blendMode = 'avg'
5.8708 	EXP 	window1: blendMode = 'avg'
5.8729 	EXP 	window1: blendMode = 'avg'
5.8752 	EXP 	window1: blendMode = 'avg'
5.8777 	EXP 	window1: blendMode = 'avg'
5.8806 	EXP 	window1: blendMode = 'avg'
5.8827 	EXP 	window1: blendMode = 'avg'
5.8860 	EXP 	window1: blendMode = 'avg'
5.8885 	EXP 	window1: blendMode = 'avg'
5.8906 	EXP 	window1: blendMode = 'avg'
5.8932 	EXP 	window1: blendMode = 'avg'
5.8958 	EXP 	window1: blendMode = 'avg'
5.8998 	EXP 	window1: blendMode = 'avg'
5.9021 	EXP 	window1: blendMode = 'avg'
5.9057 	EXP 	window1: blendMode = 'avg'
5.9083 	EXP 	window1: blendMode = 'avg'
5.9109 	EXP 	window1: blendMode = 'avg'
5.9132 	EXP 	window1: blendMode = 'avg'
5.9154 	EXP 	window1: blendMode = 'avg'
5.9177 	EXP 	window1: blendMode = 'avg'
5.9211 	EXP 	window1: blendMode = 'avg'
5.9256 	EXP 	window1: blendMode = 'avg'
5.9283 	EXP 	window1: blendMode = 'avg'
5.9321 	EXP 	window1: blendMode = 'avg'
5.9343 	EXP 	window1: blendMode = 'avg'
5.9364 	EXP 	window1: blendMode = 'avg'
5.9398 	EXP 	window1: blendMode = 'avg'
5.9425 	EXP 	window1: blendMode = 'avg'
5.9449 	EXP 	window1: blendMode = 'avg'
5.9471 	EXP 	window1: blendMode = 'avg'
5.9505 	EXP 	window1: blendMode = 'avg'
5.9534 	EXP 	window1: blendMode = 'avg'
5.9583 	EXP 	window1: blendMode = 'avg'
5.9610 	EXP 	window1: blendMode = 'avg'
5.9642 	EXP 	window1: blendMode = 'avg'
5.9664 	EXP 	window1: blendMode = 'avg'
5.9685 	EXP 	window1: blendMode = 'avg'
5.9719 	EXP 	window1: blendMode = 'avg'
5.9751 	EXP 	window1: blendMode = 'avg'
5.9780 	EXP 	window1: blendMode = 'avg'
5.9804 	EXP 	window1: blendMode = 'avg'
5.9826 	EXP 	window1: blendMode = 'avg'
5.9847 	EXP 	window1: blendMode = 'avg'
5.9881 	EXP 	window1: blendMode = 'avg'
5.9902 	EXP 	window1: blendMode = 'avg'
5.9937 	EXP 	window1: blendMode = 'avg'
5.9962 	EXP 	window1: blendMode = 'avg'
5.9995 	EXP 	window1: blendMode = 'avg'
6.0017 	EXP 	window1: blendMode = 'avg'
6.0050 	EXP 	window1: blendMode = 'avg'
6.0071 	EXP 	window1: blendMode = 'avg'
6.0097 	EXP 	window1: blendMode = 'avg'
6.0128 	EXP 	window1: blendMode = 'avg'
6.0156 	EXP 	window1: blendMode = 'avg'
6.0178 	EXP 	window1: blendMode = 'avg'
6.0200 	EXP 	window1: blendMode = 'avg'
6.0234 	EXP 	window1: blendMode = 'avg'
6.0260 	EXP 	window1: blendMode = 'avg'
6.0285 	EXP 	window1: blendMode = 'avg'
6.0307 	EXP 	window1: blendMode = 'avg'
6.0329 	EXP 	window1: blendMode = 'avg'
6.0384 	EXP 	window1: blendMode = 'avg'
6.0413 	EXP 	window1: blendMode = 'avg'
6.0444 	EXP 	window1: blendMode = 'avg'
6.0467 	EXP 	window1: blendMode = 'avg'
6.0488 	EXP 	window1: blendMode = 'avg'
6.0510 	EXP 	window1: blendMode = 'avg'
6.0545 	EXP 	window1: blendMode = 'avg'
6.0566 	EXP 	window1: blendMode = 'avg'
6.0601 	EXP 	window1: blendMode = 'avg'
6.0627 	EXP 	window1: blendMode = 'avg'
6.0648 	EXP 	window1: blendMode = 'avg'
6.0670 	EXP 	window1: blendMode = 'avg'
6.0706 	EXP 	window1: blendMode = 'avg'
6.0726 	EXP 	window1: blendMode = 'avg'
6.0770 	EXP 	window1: blendMode = 'avg'
6.0797 	EXP 	window1: blendMode = 'avg'
6.0824 	EXP 	window1: blendMode = 'avg'
6.0860 	EXP 	window1: blendMode = 'avg'
6.0884 	EXP 	window1: blendMode = 'avg'
6.0906 	EXP 	window1: blendMode = 'avg'
6.0932 	EXP 	window1: blendMode = 'avg'
6.0956 	EXP 	window1: blendMode = 'avg'
6.0978 	EXP 	window1: blendMode = 'avg'
6.1001 	EXP 	window1: blendMode = 'avg'
6.1029 	EXP 	window1: blendMode = 'avg'
6.1066 	EXP 	window1: blendMode = 'avg'
6.1111 	EXP 	window1: blendMode = 'avg'
6.1150 	EXP 	window1: blendMode = 'avg'
6.1174 	EXP 	window1: blendMode = 'avg'
6.1195 	EXP 	window1: blendMode = 'avg'
6.1229 	EXP 	window1: blendMode = 'avg'
6.1256 	EXP 	window1: blendMode = 'avg'
6.1282 	EXP 	window1: blendMode = 'avg'
6.1322 	EXP 	window1: blendMode = 'avg'
6.1344 	EXP 	window1: blendMode = 'avg'
6.1380 	EXP 	window1: blendMode = 'avg'
6.1402 	EXP 	window1: blendMode = 'avg'
6.1428 	EXP 	window1: blendMode = 'avg'
6.1452 	EXP 	window1: blendMode = 'avg'
6.1474 	EXP 	window1: blendMode = 'avg'
6.1496 	EXP 	window1: blendMode = 'avg'
6.1517 	EXP 	window1: blendMode = 'avg'
6.1576 	EXP 	window1: blendMode = 'avg'
6.1602 	EXP 	window1: blendMode = 'avg'
6.1627 	EXP 	window1: blendMode = 'avg'
6.1650 	EXP 	window1: blendMode = 'avg'
6.1672 	EXP 	window1: blendMode = 'avg'
6.1730 	EXP 	window1: blendMode = 'avg'
6.1755 	EXP 	window1: blendMode = 'avg'
6.1782 	EXP 	window1: blendMode = 'avg'
6.1805 	EXP 	window1: blendMode = 'avg'
6.1828 	EXP 	window1: blendMode = 'avg'
6.1850 	EXP 	window1: blendMode = 'avg'
6.1879 	EXP 	window1: blendMode = 'avg'
6.1941 	EXP 	window1: blendMode = 'avg'
6.1963 	EXP 	window1: blendMode = 'avg'
6.1984 	EXP 	window1: blendMode = 'avg'
6.2006 	EXP 	window1: blendMode = 'avg'
6.2027 	EXP 	window1: blendMode = 'avg'
6.2056 	EXP 	window1: blendMode = 'avg'
6.2119 	EXP 	window1: blendMode = 'avg'
6.2141 	EXP 	window1: blendMode = 'avg'
6.2162 	EXP 	window1: blendMode = 'avg'
6.2184 	EXP 	window1: blendMode = 'avg'
6.2225 	EXP 	window1: blendMode = 'avg'
6.2263 	EXP 	window1: blendMode = 'avg'
6.2288 	EXP 	window1: blendMode = 'avg'
6.2321 	EXP 	window1: blendMode = 'avg'
6.2343 	EXP 	window1: blendMode = 'avg'
6.2384 	EXP 	window1: blendMode = 'avg'
6.2423 	EXP 	window1: blendMode = 'avg'
6.2447 	EXP 	window1: blendMode = 'avg'
6.2469 	EXP 	window1: blendMode = 'avg'
6.2491 	EXP 	window1: blendMode = 'avg'
6.2513 	EXP 	window1: blendMode = 'avg'
6.2534 	EXP 	window1: blendMode = 'avg'
6.2596 	EXP 	window1: blendMode = 'avg'
6.2620 	EXP 	window1: blendMode = 'avg'
6.2642 	EXP 	window1: blendMode = 'avg'
6.2664 	EXP 	window1: blendMode = 'avg'
6.2685 	EXP 	window1: blendMode = 'avg'
6.2727 	DATA 	Keypress: space
6.2791 	EXP 	Imported groupAIF.xlsx as conditions, 17 conditions, 4 params
6.2794 	EXP 	Created sequence: sequential, trialTypes=17, nReps=1, seed=None
6.2797 	EXP 	New trial (rep=0, index=0): {'colour': u'red', 'word': u'blue', 'congruent': 0, 'corrAns': u'r'}
6.2848 	EXP 	instrText: autoDraw = False
6.2848 	EXP 	targe: color = u'red (named)'
6.2848 	EXP 	targe: text = u'blue'
6.7822 	EXP 	window1: blendMode = 'avg'
6.7839 	EXP 	targe: autoDraw = True
6.7842 	EXP 	window1: blendMode = 'avg'
6.7863 	EXP 	window1: blendMode = 'avg'
6.7888 	EXP 	window1: blendMode = 'avg'
6.7907 	EXP 	window1: blendMode = 'avg'
6.7945 	EXP 	window1: blendMode = 'avg'
6.7975 	EXP 	window1: blendMode = 'avg'
6.7995 	EXP 	window1: blendMode = 'avg'
6.8026 	EXP 	window1: blendMode = 'avg'
6.8046 	EXP 	window1: blendMode = 'avg'
6.8085 	EXP 	window1: blendMode = 'avg'
6.8107 	EXP 	window1: blendMode = 'avg'
6.8137 	EXP 	window1: blendMode = 'avg'
6.8157 	EXP 	window1: blendMode = 'avg'
6.8177 	EXP 	window1: blendMode = 'avg'
6.8203 	EXP 	window1: blendMode = 'avg'
6.8223 	EXP 	window1: blendMode = 'avg'
6.8262 	EXP 	window1: blendMode = 'avg'
6.8292 	EXP 	window1: blendMode = 'avg'
6.8314 	EXP 	window1: blendMode = 'avg'
6.8333 	EXP 	window1: blendMode = 'avg'
6.8370 	EXP 	window1: blendMode = 'avg'
6.8389 	EXP 	window1: blendMode = 'avg'
6.8410 	EXP 	window1: blendMode = 'avg'
6.8434 	EXP 	window1: blendMode = 'avg'
6.8463 	EXP 	window1: blendMode = 'avg'
6.8483 	EXP 	window1: blendMode = 'avg'
6.8502 	EXP 	window1: blendMode = 'avg'
6.8528 	EXP 	window1: blendMode = 'avg'
6.8547 	EXP 	window1: blendMode = 'avg'
6.8587 	EXP 	window1: blendMode = 'avg'
6.8617 	EXP 	window1: blendMode = 'avg'
6.8641 	EXP 	window1: blendMode = 'avg'
6.8662 	EXP 	window1: blendMode = 'avg'
6.8682 	EXP 	window1: blendMode = 'avg'
6.8719 	EXP 	window1: blendMode = 'avg'
6.8758 	EXP 	window1: blendMode = 'avg'
6.8786 	EXP 	window1: blendMode = 'avg'
6.8809 	EXP 	window1: blendMode = 'avg'
6.8830 	EXP 	window1: blendMode = 'avg'
6.8867 	EXP 	window1: blendMode = 'avg'
6.8885 	EXP 	window1: blendMode = 'avg'
6.8904 	EXP 	window1: blendMode = 'avg'
6.8941 	EXP 	window1: blendMode = 'avg'
6.8962 	EXP 	window1: blendMode = 'avg'
6.8982 	EXP 	window1: blendMode = 'avg'
6.9001 	EXP 	window1: blendMode = 'avg'
6.9019 	EXP 	window1: blendMode = 'avg'
6.9057 	EXP 	window1: blendMode = 'avg'
6.9101 	EXP 	window1: blendMode = 'avg'
6.9124 	EXP 	window1: blendMode = 'avg'
6.9143 	EXP 	window1: blendMode = 'avg'
6.9162 	EXP 	window1: blendMode = 'avg'
6.9180 	EXP 	window1: blendMode = 'avg'
6.9198 	EXP 	window1: blendMode = 'avg'
6.9216 	EXP 	window1: blendMode = 'avg'
6.9248 	EXP 	window1: blendMode = 'avg'
6.9277 	EXP 	window1: blendMode = 'avg'
6.9296 	EXP 	window1: blendMode = 'avg'
6.9315 	EXP 	window1: blendMode = 'avg'
6.9333 	EXP 	window1: blendMode = 'avg'
6.9352 	EXP 	window1: blendMode = 'avg'
6.9378 	EXP 	window1: blendMode = 'avg'
6.9415 	EXP 	window1: blendMode = 'avg'
6.9450 	EXP 	window1: blendMode = 'avg'
6.9469 	EXP 	window1: blendMode = 'avg'
6.9488 	EXP 	window1: blendMode = 'avg'
6.9506 	EXP 	window1: blendMode = 'avg'
6.9544 	EXP 	window1: blendMode = 'avg'
6.9576 	EXP 	window1: blendMode = 'avg'
6.9601 	EXP 	window1: blendMode = 'avg'
6.9621 	EXP 	window1: blendMode = 'avg'
6.9640 	EXP 	window1: blendMode = 'avg'
6.9658 	EXP 	window1: blendMode = 'avg'
6.9677 	EXP 	window1: blendMode = 'avg'
6.9714 	EXP 	window1: blendMode = 'avg'
6.9749 	EXP 	window1: blendMode = 'avg'
6.9772 	EXP 	window1: blendMode = 'avg'
