colour,word,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,response.keys,response.corr,response.rt,thank.keys,thank.rt,date,frameRate,expName,session,participant,
red,blue,0,r,0,0,0,0,r,1,1.47545385361,,,2018_feb_10_1709,467.092520825,stroop,001,moji,
green,green,1,g,0,1,1,1,g,1,0.858422040939,,,2018_feb_10_1709,467.092520825,stroop,001,moji,
red,yellow,0,r,0,2,2,2,r,1,0.981541872025,,,2018_feb_10_1709,467.092520825,stroop,001,moji,
red,red,1,r,0,3,3,3,r,1,0.756463050842,,,2018_feb_10_1709,467.092520825,stroop,001,moji,
blue,blue,1,b,0,4,4,4,b,1,0.846624135971,,,2018_feb_10_1709,467.092520825,stroop,001,moji,
green,green,1,g,0,5,5,5,g,1,0.715821027756,,,2018_feb_10_1709,467.092520825,stroop,001,moji,
blue,red,0,b,0,6,6,6,b,1,1.18265986443,,,2018_feb_10_1709,467.092520825,stroop,001,moji,
yellow,yellow,1,y,0,7,7,7,y,1,0.624388933182,,,2018_feb_10_1709,467.092520825,stroop,001,moji,
green,green,1,g,0,8,8,8,g,1,0.905215024948,,,2018_feb_10_1709,467.092520825,stroop,001,moji,
red,red,1,r,0,9,9,9,r,1,0.568666934967,,,2018_feb_10_1709,467.092520825,stroop,001,moji,
blue,blue,1,b,0,10,10,10,b,1,0.619532108307,,,2018_feb_10_1709,467.092520825,stroop,001,moji,
yellow,yellow,1,y,0,11,11,11,y,1,0.698589086533,,,2018_feb_10_1709,467.092520825,stroop,001,moji,
blue,blue,1,b,0,12,12,12,b,1,0.824891805649,,,2018_feb_10_1709,467.092520825,stroop,001,moji,
yellow,green,0,y,0,13,13,13,y,1,0.939959049225,,,2018_feb_10_1709,467.092520825,stroop,001,moji,
yellow,yellow,1,y,0,14,14,14,y,1,0.681177854538,,,2018_feb_10_1709,467.092520825,stroop,001,moji,
green,green,1,g,0,15,15,15,g,1,0.646301031113,,,2018_feb_10_1709,467.092520825,stroop,001,moji,
red,red,1,r,0,16,16,16,r,1,0.545952796936,,,2018_feb_10_1709,467.092520825,stroop,001,moji,
,,,,,,,,,,,b,1.11934518814,2018_feb_10_1709,467.092520825,stroop,001,moji,
