3.7018 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f271c0ec310>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.7018 	EXP 	window1: recordFrameIntervals = False
3.7222 	EXP 	window1: recordFrameIntervals = True
3.7276 	WARNING 	t of last frame was 2.80ms (=1/357)
3.7320 	WARNING 	t of last frame was 4.31ms (=1/231)
3.7464 	EXP 	window1: recordFrameIntervals = False
3.8639 	EXP 	Created instrText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='instrText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
3.8709 	EXP 	Created targe = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='targe', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
3.9137 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
3.9146 	EXP 	window1: blendMode = 'avg'
3.9167 	EXP 	instrText: autoDraw = True
3.9169 	EXP 	window1: blendMode = 'avg'
3.9190 	EXP 	window1: blendMode = 'avg'
3.9211 	EXP 	window1: blendMode = 'avg'
3.9232 	EXP 	window1: blendMode = 'avg'
3.9266 	EXP 	window1: blendMode = 'avg'
3.9287 	EXP 	window1: blendMode = 'avg'
3.9307 	EXP 	window1: blendMode = 'avg'
3.9339 	EXP 	window1: blendMode = 'avg'
3.9361 	EXP 	window1: blendMode = 'avg'
3.9381 	EXP 	window1: blendMode = 'avg'
3.9415 	EXP 	window1: blendMode = 'avg'
3.9435 	EXP 	window1: blendMode = 'avg'
3.9456 	EXP 	window1: blendMode = 'avg'
3.9476 	EXP 	window1: blendMode = 'avg'
3.9511 	EXP 	window1: blendMode = 'avg'
3.9535 	EXP 	window1: blendMode = 'avg'
3.9557 	EXP 	window1: blendMode = 'avg'
3.9579 	EXP 	window1: blendMode = 'avg'
3.9613 	EXP 	window1: blendMode = 'avg'
3.9634 	EXP 	window1: blendMode = 'avg'
3.9655 	EXP 	window1: blendMode = 'avg'
3.9690 	EXP 	window1: blendMode = 'avg'
3.9711 	EXP 	window1: blendMode = 'avg'
3.9732 	EXP 	window1: blendMode = 'avg'
3.9768 	EXP 	window1: blendMode = 'avg'
3.9792 	EXP 	window1: blendMode = 'avg'
3.9813 	EXP 	window1: blendMode = 'avg'
3.9835 	EXP 	window1: blendMode = 'avg'
3.9870 	EXP 	window1: blendMode = 'avg'
3.9897 	EXP 	window1: blendMode = 'avg'
3.9920 	EXP 	window1: blendMode = 'avg'
3.9956 	EXP 	window1: blendMode = 'avg'
3.9979 	EXP 	window1: blendMode = 'avg'
4.0000 	EXP 	window1: blendMode = 'avg'
4.0022 	EXP 	window1: blendMode = 'avg'
4.0043 	EXP 	window1: blendMode = 'avg'
4.0073 	EXP 	window1: blendMode = 'avg'
4.0119 	EXP 	window1: blendMode = 'avg'
4.0140 	EXP 	window1: blendMode = 'avg'
4.0160 	EXP 	window1: blendMode = 'avg'
4.0184 	EXP 	window1: blendMode = 'avg'
4.0205 	EXP 	window1: blendMode = 'avg'
4.0226 	EXP 	window1: blendMode = 'avg'
4.0256 	EXP 	window1: blendMode = 'avg'
4.0289 	EXP 	window1: blendMode = 'avg'
4.0310 	EXP 	window1: blendMode = 'avg'
4.0332 	EXP 	window1: blendMode = 'avg'
4.0356 	EXP 	window1: blendMode = 'avg'
4.0379 	EXP 	window1: blendMode = 'avg'
4.0401 	EXP 	window1: blendMode = 'avg'
4.0423 	EXP 	window1: blendMode = 'avg'
4.0445 	EXP 	window1: blendMode = 'avg'
4.0510 	EXP 	window1: blendMode = 'avg'
4.0533 	EXP 	window1: blendMode = 'avg'
4.0554 	EXP 	window1: blendMode = 'avg'
