colour,word,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,response.keys,response.corr,response.rt,thank.keys,thank.rt,date,frameRate,expName,session,participant,
red,red,1,r,0,0,0,0,r,1,0.441329956055,,,2018_feb_10_1731,436.906666667,stroop,001,cristian,
red,blue,0,r,0,1,1,1,r,1,1.37336707115,,,2018_feb_10_1731,436.906666667,stroop,001,cristian,
green,blue,0,g,0,2,2,2,g,1,1.51412606239,,,2018_feb_10_1731,436.906666667,stroop,001,cristian,
green,green,1,g,0,3,3,3,g,1,1.80966210365,,,2018_feb_10_1731,436.906666667,stroop,001,cristian,
yellow,red,0,y,0,4,4,4,y,1,1.17359399796,,,2018_feb_10_1731,436.906666667,stroop,001,cristian,
green,red,0,g,0,5,5,5,g,1,1.01370000839,,,2018_feb_10_1731,436.906666667,stroop,001,cristian,
blue,yellow,0,b,0,6,6,6,b,1,1.39737892151,,,2018_feb_10_1731,436.906666667,stroop,001,cristian,
red,green,0,r,0,7,7,7,r,1,1.49408102036,,,2018_feb_10_1731,436.906666667,stroop,001,cristian,
blue,red,0,b,0,8,8,8,b,1,1.23483514786,,,2018_feb_10_1731,436.906666667,stroop,001,cristian,
yellow,yellow,1,y,0,9,9,9,y,1,0.506862878799,,,2018_feb_10_1731,436.906666667,stroop,001,cristian,
red,yellow,0,r,0,10,10,10,r,1,1.28328204155,,,2018_feb_10_1731,436.906666667,stroop,001,cristian,
yellow,green,0,y,0,11,11,11,y,1,1.3371090889,,,2018_feb_10_1731,436.906666667,stroop,001,cristian,
blue,blue,1,b,0,12,12,12,b,1,0.738023042679,,,2018_feb_10_1731,436.906666667,stroop,001,cristian,
green,yellow,0,g,0,13,13,13,g,1,1.11629581451,,,2018_feb_10_1731,436.906666667,stroop,001,cristian,
blue,green,0,b,0,14,14,14,b,1,1.52586102486,,,2018_feb_10_1731,436.906666667,stroop,001,cristian,
yellow,blue,0,y,0,15,15,15,y,1,0.870163917542,,,2018_feb_10_1731,436.906666667,stroop,001,cristian,
,,,,,,,,,,,return,1.11065006256,2018_feb_10_1731,436.906666667,stroop,001,cristian,
