5.8452 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fc81c1a0310>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.8452 	EXP 	window1: recordFrameIntervals = False
5.8682 	EXP 	window1: recordFrameIntervals = True
5.8827 	WARNING 	t of last frame was 3.18ms (=1/314)
5.8906 	WARNING 	t of last frame was 4.51ms (=1/221)
5.8941 	EXP 	window1: recordFrameIntervals = False
6.0031 	EXP 	Created instrText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='instrText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
6.0095 	EXP 	Created targe = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='targe', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
6.0503 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
6.0511 	EXP 	window1: blendMode = 'avg'
6.0533 	EXP 	instrText: autoDraw = True
6.0535 	EXP 	window1: blendMode = 'avg'
6.0555 	EXP 	window1: blendMode = 'avg'
6.0576 	EXP 	window1: blendMode = 'avg'
6.0610 	EXP 	window1: blendMode = 'avg'
6.0658 	EXP 	window1: blendMode = 'avg'
6.0679 	EXP 	window1: blendMode = 'avg'
6.0699 	EXP 	window1: blendMode = 'avg'
6.0720 	EXP 	window1: blendMode = 'avg'
6.0741 	EXP 	window1: blendMode = 'avg'
6.0775 	EXP 	window1: blendMode = 'avg'
6.0795 	EXP 	window1: blendMode = 'avg'
6.0843 	EXP 	window1: blendMode = 'avg'
6.0877 	EXP 	window1: blendMode = 'avg'
6.0899 	EXP 	window1: blendMode = 'avg'
6.0932 	EXP 	window1: blendMode = 'avg'
6.0954 	EXP 	window1: blendMode = 'avg'
6.1000 	EXP 	window1: blendMode = 'avg'
6.1021 	EXP 	window1: blendMode = 'avg'
6.1042 	EXP 	window1: blendMode = 'avg'
6.1062 	EXP 	window1: blendMode = 'avg'
6.1096 	EXP 	window1: blendMode = 'avg'
6.1116 	EXP 	window1: blendMode = 'avg'
6.1137 	EXP 	window1: blendMode = 'avg'
6.1184 	EXP 	window1: blendMode = 'avg'
6.1205 	EXP 	window1: blendMode = 'avg'
6.1226 	EXP 	window1: blendMode = 'avg'
6.1259 	EXP 	window1: blendMode = 'avg'
6.1280 	EXP 	window1: blendMode = 'avg'
6.1301 	EXP 	window1: blendMode = 'avg'
6.1349 	EXP 	window1: blendMode = 'avg'
6.1370 	EXP 	window1: blendMode = 'avg'
6.1390 	EXP 	window1: blendMode = 'avg'
6.1424 	EXP 	window1: blendMode = 'avg'
6.1444 	EXP 	window1: blendMode = 'avg'
6.1465 	EXP 	window1: blendMode = 'avg'
6.1512 	EXP 	window1: blendMode = 'avg'
6.1533 	EXP 	window1: blendMode = 'avg'
6.1554 	EXP 	window1: blendMode = 'avg'
6.1587 	EXP 	window1: blendMode = 'avg'
6.1608 	EXP 	window1: blendMode = 'avg'
6.1648 	EXP 	window1: blendMode = 'avg'
6.1694 	EXP 	window1: blendMode = 'avg'
6.1715 	EXP 	window1: blendMode = 'avg'
6.1749 	EXP 	window1: blendMode = 'avg'
6.1771 	EXP 	window1: blendMode = 'avg'
6.1793 	EXP 	window1: blendMode = 'avg'
6.1815 	EXP 	window1: blendMode = 'avg'
6.1861 	EXP 	window1: blendMode = 'avg'
6.1895 	EXP 	window1: blendMode = 'avg'
6.1915 	EXP 	window1: blendMode = 'avg'
6.1936 	EXP 	window1: blendMode = 'avg'
6.1957 	EXP 	window1: blendMode = 'avg'
6.1978 	EXP 	window1: blendMode = 'avg'
6.2011 	EXP 	window1: blendMode = 'avg'
6.2090 	EXP 	window1: blendMode = 'avg'
6.2138 	EXP 	window1: blendMode = 'avg'
6.2185 	EXP 	window1: blendMode = 'avg'
6.2308 	EXP 	window1: blendMode = 'avg'
6.2356 	EXP 	window1: blendMode = 'avg'
6.2478 	EXP 	window1: blendMode = 'avg'
6.2582 	EXP 	window1: blendMode = 'avg'
6.2679 	EXP 	window1: blendMode = 'avg'
6.2800 	EXP 	window1: blendMode = 'avg'
6.2848 	EXP 	window1: blendMode = 'avg'
6.2914 	EXP 	window1: blendMode = 'avg'
6.2935 	EXP 	window1: blendMode = 'avg'
6.2955 	EXP 	window1: blendMode = 'avg'
6.2976 	EXP 	window1: blendMode = 'avg'
6.3010 	EXP 	window1: blendMode = 'avg'
6.3057 	EXP 	window1: blendMode = 'avg'
6.3104 	EXP 	window1: blendMode = 'avg'
6.3152 	EXP 	window1: blendMode = 'avg'
6.3275 	EXP 	window1: blendMode = 'avg'
6.3322 	EXP 	window1: blendMode = 'avg'
6.3387 	EXP 	window1: blendMode = 'avg'
6.3408 	EXP 	window1: blendMode = 'avg'
6.3429 	EXP 	window1: blendMode = 'avg'
6.3451 	EXP 	window1: blendMode = 'avg'
6.3471 	EXP 	window1: blendMode = 'avg'
6.3537 	EXP 	window1: blendMode = 'avg'
6.3569 	EXP 	window1: blendMode = 'avg'
6.3590 	EXP 	window1: blendMode = 'avg'
6.3611 	EXP 	window1: blendMode = 'avg'
6.3631 	EXP 	window1: blendMode = 'avg'
6.3666 	EXP 	window1: blendMode = 'avg'
6.3713 	EXP 	window1: blendMode = 'avg'
6.3734 	EXP 	window1: blendMode = 'avg'
6.3755 	EXP 	window1: blendMode = 'avg'
6.3776 	EXP 	window1: blendMode = 'avg'
6.3810 	EXP 	window1: blendMode = 'avg'
6.3862 	EXP 	window1: blendMode = 'avg'
6.3883 	EXP 	window1: blendMode = 'avg'
6.3903 	EXP 	window1: blendMode = 'avg'
6.3936 	EXP 	window1: blendMode = 'avg'
6.3958 	EXP 	window1: blendMode = 'avg'
6.3992 	EXP 	window1: blendMode = 'avg'
6.4040 	EXP 	window1: blendMode = 'avg'
6.4061 	EXP 	window1: blendMode = 'avg'
6.4081 	EXP 	window1: blendMode = 'avg'
6.4102 	EXP 	window1: blendMode = 'avg'
6.4136 	EXP 	window1: blendMode = 'avg'
6.4157 	EXP 	window1: blendMode = 'avg'
6.4205 	EXP 	window1: blendMode = 'avg'
6.4226 	EXP 	window1: blendMode = 'avg'
6.4247 	EXP 	window1: blendMode = 'avg'
6.4267 	EXP 	window1: blendMode = 'avg'
