colour,word,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,response.keys,response.corr,response.rt,thank.keys,thank.rt,date,frameRate,expName,session,participant,
red,red,1,r,0,0,0,0,r,1,1.28441500664,,,2018_feb_10_1729,464.146249696,stroop,001,matilde,
red,blue,0,r,0,1,1,1,r,1,2.1337749958,,,2018_feb_10_1729,464.146249696,stroop,001,matilde,
green,blue,0,g,0,2,2,2,g,1,1.61827301979,,,2018_feb_10_1729,464.146249696,stroop,001,matilde,
green,green,1,g,0,3,3,3,g,1,1.10065197945,,,2018_feb_10_1729,464.146249696,stroop,001,matilde,
yellow,red,0,y,0,4,4,4,y,1,1.42978787422,,,2018_feb_10_1729,464.146249696,stroop,001,matilde,
green,red,0,g,0,5,5,5,g,1,1.42165708542,,,2018_feb_10_1729,464.146249696,stroop,001,matilde,
blue,yellow,0,b,0,6,6,6,b,1,1.24575519562,,,2018_feb_10_1729,464.146249696,stroop,001,matilde,
red,green,0,r,0,7,7,7,r,1,1.15044307709,,,2018_feb_10_1729,464.146249696,stroop,001,matilde,
blue,red,0,b,0,8,8,8,b,1,1.5262491703,,,2018_feb_10_1729,464.146249696,stroop,001,matilde,
yellow,yellow,1,y,0,9,9,9,y,1,0.864956140518,,,2018_feb_10_1729,464.146249696,stroop,001,matilde,
red,yellow,0,r,0,10,10,10,r,1,1.00482702255,,,2018_feb_10_1729,464.146249696,stroop,001,matilde,
yellow,green,0,y,0,11,11,11,y,1,1.29029297829,,,2018_feb_10_1729,464.146249696,stroop,001,matilde,
blue,blue,1,b,0,12,12,12,b,1,1.35239481926,,,2018_feb_10_1729,464.146249696,stroop,001,matilde,
green,yellow,0,g,0,13,13,13,g,1,1.33230900764,,,2018_feb_10_1729,464.146249696,stroop,001,matilde,
blue,green,0,b,0,14,14,14,b,1,1.22452402115,,,2018_feb_10_1729,464.146249696,stroop,001,matilde,
yellow,blue,0,y,0,15,15,15,y,1,1.09513092041,,,2018_feb_10_1729,464.146249696,stroop,001,matilde,
,,,,,,,,,,,b,1.13660907745,2018_feb_10_1729,464.146249696,stroop,001,matilde,
