5.7906 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f1034030310>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.7907 	EXP 	window1: recordFrameIntervals = False
5.8165 	EXP 	window1: recordFrameIntervals = True
5.8269 	WARNING 	t of last frame was 3.21ms (=1/311)
5.8317 	WARNING 	t of last frame was 4.75ms (=1/210)
5.8403 	EXP 	window1: recordFrameIntervals = False
5.9485 	EXP 	Created instrText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='instrText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
5.9550 	EXP 	Created targe = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='targe', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
5.9956 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
5.9964 	EXP 	window1: blendMode = 'avg'
5.9986 	EXP 	instrText: autoDraw = True
5.9988 	EXP 	window1: blendMode = 'avg'
6.0009 	EXP 	window1: blendMode = 'avg'
6.0075 	EXP 	window1: blendMode = 'avg'
6.0096 	EXP 	window1: blendMode = 'avg'
6.0117 	EXP 	window1: blendMode = 'avg'
6.0138 	EXP 	window1: blendMode = 'avg'
6.0159 	EXP 	window1: blendMode = 'avg'
6.0193 	EXP 	window1: blendMode = 'avg'
6.0240 	EXP 	window1: blendMode = 'avg'
6.0261 	EXP 	window1: blendMode = 'avg'
6.0283 	EXP 	window1: blendMode = 'avg'
6.0304 	EXP 	window1: blendMode = 'avg'
6.0326 	EXP 	window1: blendMode = 'avg'
6.0361 	EXP 	window1: blendMode = 'avg'
6.0409 	EXP 	window1: blendMode = 'avg'
6.0431 	EXP 	window1: blendMode = 'avg'
6.0452 	EXP 	window1: blendMode = 'avg'
6.0473 	EXP 	window1: blendMode = 'avg'
6.0494 	EXP 	window1: blendMode = 'avg'
6.0528 	EXP 	window1: blendMode = 'avg'
