colour,word,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,response.keys,response.corr,response.rt,thank.keys,thank.rt,date,frameRate,expName,session,participant,
red,red,1,r,0,0,0,0,r,1,0.860557079315,,,2018_feb_10_1732,457.144850136,stroop,001,rocco,
red,blue,0,r,0,1,1,1,r,1,1.90344905853,,,2018_feb_10_1732,457.144850136,stroop,001,rocco,
green,blue,0,g,0,2,2,2,g,1,1.61162090302,,,2018_feb_10_1732,457.144850136,stroop,001,rocco,
green,green,1,g,0,3,3,3,g,1,0.579324960709,,,2018_feb_10_1732,457.144850136,stroop,001,rocco,
yellow,red,0,y,0,4,4,4,y,1,1.66159820557,,,2018_feb_10_1732,457.144850136,stroop,001,rocco,
green,red,0,g,0,5,5,5,g,1,1.16118597984,,,2018_feb_10_1732,457.144850136,stroop,001,rocco,
blue,yellow,0,b,0,6,6,6,b,1,1.56016087532,,,2018_feb_10_1732,457.144850136,stroop,001,rocco,
red,green,0,r,0,7,7,7,r,1,1.33270001411,,,2018_feb_10_1732,457.144850136,stroop,001,rocco,
blue,red,0,b,0,8,8,8,b,1,0.689342975616,,,2018_feb_10_1732,457.144850136,stroop,001,rocco,
yellow,yellow,1,y,0,9,9,9,y,1,1.61700701714,,,2018_feb_10_1732,457.144850136,stroop,001,rocco,
red,yellow,0,r,0,10,10,10,r,1,1.6614511013,,,2018_feb_10_1732,457.144850136,stroop,001,rocco,
yellow,green,0,y,0,11,11,11,g,0,1.24571490288,,,2018_feb_10_1732,457.144850136,stroop,001,rocco,
blue,blue,1,b,0,12,12,12,b,1,1.09408688545,,,2018_feb_10_1732,457.144850136,stroop,001,rocco,
green,yellow,0,g,0,13,13,13,g,1,0.989651203156,,,2018_feb_10_1732,457.144850136,stroop,001,rocco,
blue,green,0,b,0,14,14,14,b,1,1.14227485657,,,2018_feb_10_1732,457.144850136,stroop,001,rocco,
yellow,blue,0,y,0,15,15,15,y,1,1.44109511375,,,2018_feb_10_1732,457.144850136,stroop,001,rocco,
,,,,,,,,,,,return,0.979069948196,2018_feb_10_1732,457.144850136,stroop,001,rocco,
