12.0735 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f6c36baa310>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
12.0735 	EXP 	window1: recordFrameIntervals = False
12.1445 	EXP 	window1: recordFrameIntervals = True
12.1584 	WARNING 	t of last frame was 4.65ms (=1/214)
12.1705 	WARNING 	t of last frame was 12.12ms (=1/82)
12.1752 	WARNING 	t of last frame was 4.74ms (=1/210)
12.1874 	WARNING 	t of last frame was 12.14ms (=1/82)
12.1922 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
12.2681 	EXP 	window1: recordFrameIntervals = False
12.3795 	EXP 	Created instrText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='instrText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
12.3866 	EXP 	Created targe = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='targe', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
12.4291 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
12.4299 	EXP 	window1: blendMode = 'avg'
12.4322 	EXP 	instrText: autoDraw = True
12.4324 	EXP 	window1: blendMode = 'avg'
12.4372 	EXP 	window1: blendMode = 'avg'
12.4393 	EXP 	window1: blendMode = 'avg'
12.4413 	EXP 	window1: blendMode = 'avg'
12.4434 	EXP 	window1: blendMode = 'avg'
12.4455 	EXP 	window1: blendMode = 'avg'
12.4476 	EXP 	window1: blendMode = 'avg'
12.4511 	EXP 	window1: blendMode = 'avg'
12.4558 	EXP 	window1: blendMode = 'avg'
12.4579 	EXP 	window1: blendMode = 'avg'
12.4600 	EXP 	window1: blendMode = 'avg'
12.4620 	EXP 	window1: blendMode = 'avg'
12.4667 	EXP 	window1: blendMode = 'avg'
12.4702 	EXP 	window1: blendMode = 'avg'
12.4723 	EXP 	window1: blendMode = 'avg'
12.4744 	EXP 	window1: blendMode = 'avg'
12.4765 	EXP 	window1: blendMode = 'avg'
