colour,word,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,response.keys,response.corr,response.rt,thank.keys,thank.rt,date,frameRate,expName,session,participant,
red,red,1,r,0,0,0,0,r,1,0.808202028275,,,2018_feb_10_1730,466.681947149,stroop,001,sara,
red,blue,0,r,0,1,1,1,b,0,2.24610590935,,,2018_feb_10_1730,466.681947149,stroop,001,sara,
green,blue,0,g,0,2,2,2,g,1,2.04491901398,,,2018_feb_10_1730,466.681947149,stroop,001,sara,
green,green,1,g,0,3,3,3,g,1,1.07609510422,,,2018_feb_10_1730,466.681947149,stroop,001,sara,
yellow,red,0,y,0,4,4,4,y,1,1.44640898705,,,2018_feb_10_1730,466.681947149,stroop,001,sara,
green,red,0,g,0,5,5,5,g,1,1.51055312157,,,2018_feb_10_1730,466.681947149,stroop,001,sara,
blue,yellow,0,b,0,6,6,6,b,1,1.15817093849,,,2018_feb_10_1730,466.681947149,stroop,001,sara,
red,green,0,r,0,7,7,7,r,1,1.22292900085,,,2018_feb_10_1730,466.681947149,stroop,001,sara,
blue,red,0,b,0,8,8,8,b,1,1.47630906105,,,2018_feb_10_1730,466.681947149,stroop,001,sara,
yellow,yellow,1,y,0,9,9,9,y,1,0.903696060181,,,2018_feb_10_1730,466.681947149,stroop,001,sara,
red,yellow,0,r,0,10,10,10,r,1,1.08059191704,,,2018_feb_10_1730,466.681947149,stroop,001,sara,
yellow,green,0,y,0,11,11,11,y,1,1.88622713089,,,2018_feb_10_1730,466.681947149,stroop,001,sara,
blue,blue,1,b,0,12,12,12,b,1,1.23638296127,,,2018_feb_10_1730,466.681947149,stroop,001,sara,
green,yellow,0,g,0,13,13,13,g,1,1.96307587624,,,2018_feb_10_1730,466.681947149,stroop,001,sara,
blue,green,0,b,0,14,14,14,b,1,0.857111930847,,,2018_feb_10_1730,466.681947149,stroop,001,sara,
yellow,blue,0,y,0,15,15,15,y,1,1.23207402229,,,2018_feb_10_1730,466.681947149,stroop,001,sara,
,,,,,,,,,,,b,1.00863695145,2018_feb_10_1730,466.681947149,stroop,001,sara,
