6.3674 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fed9003d310>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.3674 	EXP 	window1: recordFrameIntervals = False
6.4189 	EXP 	window1: recordFrameIntervals = True
6.4355 	WARNING 	t of last frame was 4.61ms (=1/217)
6.4416 	WARNING 	t of last frame was 6.12ms (=1/163)
6.4532 	WARNING 	t of last frame was 3.21ms (=1/311)
6.4578 	WARNING 	t of last frame was 4.57ms (=1/218)
6.4631 	EXP 	window1: recordFrameIntervals = False
6.5713 	EXP 	Created instrText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='instrText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
6.5777 	EXP 	Created targe = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='targe', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
6.6178 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
6.6186 	EXP 	window1: blendMode = 'avg'
6.6207 	EXP 	instrText: autoDraw = True
6.6210 	EXP 	window1: blendMode = 'avg'
6.6261 	EXP 	window1: blendMode = 'avg'
6.6295 	EXP 	window1: blendMode = 'avg'
6.6315 	EXP 	window1: blendMode = 'avg'
6.6336 	EXP 	window1: blendMode = 'avg'
6.6357 	EXP 	window1: blendMode = 'avg'
6.6377 	EXP 	window1: blendMode = 'avg'
6.6398 	EXP 	window1: blendMode = 'avg'
6.6459 	EXP 	window1: blendMode = 'avg'
6.6481 	EXP 	window1: blendMode = 'avg'
6.6502 	EXP 	window1: blendMode = 'avg'
6.6523 	EXP 	window1: blendMode = 'avg'
6.6544 	EXP 	window1: blendMode = 'avg'
6.6565 	EXP 	window1: blendMode = 'avg'
6.6639 	EXP 	window1: blendMode = 'avg'
6.6660 	EXP 	window1: blendMode = 'avg'
6.6681 	EXP 	window1: blendMode = 'avg'
6.6702 	EXP 	window1: blendMode = 'avg'
6.6722 	EXP 	window1: blendMode = 'avg'
6.6786 	EXP 	window1: blendMode = 'avg'
6.6808 	EXP 	window1: blendMode = 'avg'
6.6829 	EXP 	window1: blendMode = 'avg'
6.6850 	EXP 	window1: blendMode = 'avg'
6.6870 	EXP 	window1: blendMode = 'avg'
6.6891 	EXP 	window1: blendMode = 'avg'
6.6957 	EXP 	window1: blendMode = 'avg'
6.6978 	EXP 	window1: blendMode = 'avg'
6.6998 	EXP 	window1: blendMode = 'avg'
6.7019 	EXP 	window1: blendMode = 'avg'
6.7040 	EXP 	window1: blendMode = 'avg'
6.7061 	EXP 	window1: blendMode = 'avg'
6.7127 	EXP 	window1: blendMode = 'avg'
6.7148 	EXP 	window1: blendMode = 'avg'
6.7168 	EXP 	window1: blendMode = 'avg'
6.7189 	EXP 	window1: blendMode = 'avg'
6.7210 	EXP 	window1: blendMode = 'avg'
6.7231 	EXP 	window1: blendMode = 'avg'
6.7298 	EXP 	window1: blendMode = 'avg'
6.7320 	EXP 	window1: blendMode = 'avg'
6.7340 	EXP 	window1: blendMode = 'avg'
6.7361 	EXP 	window1: blendMode = 'avg'
6.7381 	EXP 	window1: blendMode = 'avg'
6.7422 	EXP 	window1: blendMode = 'avg'
6.7468 	EXP 	window1: blendMode = 'avg'
6.7515 	EXP 	window1: blendMode = 'avg'
6.7562 	EXP 	window1: blendMode = 'avg'
6.7685 	EXP 	window1: blendMode = 'avg'
6.7733 	EXP 	window1: blendMode = 'avg'
6.7798 	EXP 	window1: blendMode = 'avg'
6.7819 	EXP 	window1: blendMode = 'avg'
6.7839 	EXP 	window1: blendMode = 'avg'
6.7860 	EXP 	window1: blendMode = 'avg'
6.7894 	EXP 	window1: blendMode = 'avg'
6.7941 	EXP 	window1: blendMode = 'avg'
6.7962 	EXP 	window1: blendMode = 'avg'
6.7995 	EXP 	window1: blendMode = 'avg'
6.8018 	EXP 	window1: blendMode = 'avg'
6.8038 	EXP 	window1: blendMode = 'avg'
6.8072 	EXP 	window1: blendMode = 'avg'
6.8119 	EXP 	window1: blendMode = 'avg'
6.8140 	EXP 	window1: blendMode = 'avg'
6.8160 	EXP 	window1: blendMode = 'avg'
6.8181 	EXP 	window1: blendMode = 'avg'
6.8201 	EXP 	window1: blendMode = 'avg'
6.8235 	EXP 	window1: blendMode = 'avg'
6.8282 	EXP 	window1: blendMode = 'avg'
6.8303 	EXP 	window1: blendMode = 'avg'
6.8323 	EXP 	window1: blendMode = 'avg'
6.8344 	EXP 	window1: blendMode = 'avg'
6.8365 	EXP 	window1: blendMode = 'avg'
6.8399 	EXP 	window1: blendMode = 'avg'
6.8446 	EXP 	window1: blendMode = 'avg'
6.8466 	EXP 	window1: blendMode = 'avg'
6.8487 	EXP 	window1: blendMode = 'avg'
6.8508 	EXP 	window1: blendMode = 'avg'
6.8528 	EXP 	window1: blendMode = 'avg'
6.8562 	EXP 	window1: blendMode = 'avg'
6.8609 	EXP 	window1: blendMode = 'avg'
